tempo,regiao,instituicao,localizacao_geografica,tipo_de_especialidade,doentes_saidos,dias_de_internamento,ano,mes
2024-01-01,Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.","41.1811, -8.60469",Especialidade Cirurgica,530.0,4130.0,2024,1
2024-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Arrábida, EPE","38.529351, -8.881073",Especialidade Cirurgica,374.0,2648.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde de Braga, EPE","41.562328338623, -8.3",Especialidade Cirurgica,1103.0,8161.0,2024,1
2024-01-01,Centro,"Unidade Local de Saúde de Dão-Lafões, EPE","40.6509, -7.91039",Especialidade Cirurgica,797.0,5588.0,2024,1
2024-01-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.181859, -8.663374",Especialidade Cirurgica,554.0,3638.0,2024,1
2024-01-01,Alentejo,"Unidade Local de Saúde do Alentejo Central, EPE","38.568838, -7.903064",Especialidade Cirurgica,497.0,3108.0,2024,1
2024-01-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.0146, -7.86863",Especialidade Cirurgica,353.0,2107.0,2024,1
2024-01-01,Centro,"Unidade Local de Saúde do Baixo Mondego, EPE","40.130297609, -8.8606",Especialidade Cirurgica,152.0,1139.0,2024,1
2025-01-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309943471486, -7.0",Especialidade Cirurgica,262.0,2023.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Lezíria, EPE","39.232503, -8.715083",Especialidade Cirurgica,484.0,4261.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Almada-Seixal, EPE","38.67381, -9.17597",Especialidade Cirurgica,720.0,5064.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Amadora/Sintra, EPE","38.7436332060551, -9.0",Especialidade Cirurgica,786.0,5242.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Santa Maria, EPE","38.7500648498535, -9.0",Especialidade Cirurgica,1294.0,7624.0,2025,1
2025-01-01,Norte,"Unidade Local de Saúde de São João, EPE","41.1833, -8.60193",Especialidade Cirurgica,2464.0,14310.0,2025,1
2025-01-01,Algarve,"Unidade Local de Saúde do Algarve, EPE","37.024668, -7.928949",Especialidade Cirurgica,1139.0,9327.0,2025,1
2025-01-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.697519, -8.832517",Especialidade Cirurgica,792.0,5179.0,2025,1
2025-01-01,Centro,"Unidade Local de Saúde do Baixo Mondego, EPE","40.130297609, -8.8606",Especialidade Cirurgica,169.0,1294.0,2025,1
2025-01-01,Norte,"Unidade Local de Saúde do Médio Ave, EPE","41.3422317504883, -8.0",Especialidade Cirurgica,474.0,2628.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Médio Tejo, EPE","39.605565, -8.404399",Especialidade Cirurgica,536.0,3076.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Oeste, EPE","39.4055519104004, -9.0",Especialidade Cirurgica,452.0,2846.0,2025,1
2024-02-01,Lisboa e Vale do Tejo,"Hospital de Cascais, PPP","38.730076, -9.418207",Especialidade Cirurgica,1167.0,5703.0,2024,2
2024-02-01,Centro,"Unidade Local de Saúde Castelo Branco, EPE","39.822737, -7.499876",Especialidade Cirurgica,580.0,4033.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde de Barcelos/Esposende, EPE","41.533438, -8.616604",Especialidade Cirurgica,229.0,2003.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde de Braga, EPE","41.562328338623, -8.3",Especialidade Cirurgica,2248.0,15982.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde de Entre Douro e Vouga, EPE","40.9295, -8.54567",Especialidade Cirurgica,1480.0,8240.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.181859, -8.663374",Especialidade Cirurgica,1145.0,7208.0,2024,2
2024-02-01,Alentejo,"Unidade Local de Saúde do Alentejo Central, EPE","38.568838, -7.903064",Especialidade Cirurgica,934.0,5580.0,2024,2
2024-02-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.039936, -8.731693",Especialidade Cirurgica,357.0,2296.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.802452, -6.768198",Especialidade Cirurgica,785.0,4838.0,2024,2
2024-02-01,Norte,"Unidade Local de Saúde do Tâmega e Sousa, EPE","41.1971153671548, -8.0",Especialidade Cirurgica,1733.0,10820.0,2024,2
2025-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Almada-Seixal, EPE","38.67381, -9.17597",Especialidade Cirurgica,1374.0,9421.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde de Braga, EPE","41.562328338623, -8.3",Especialidade Cirurgica,2722.0,16329.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.181859, -8.663374",Especialidade Cirurgica,1196.0,6573.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde de Santa Maria, EPE","38.7500648498535, -9.0",Especialidade Cirurgica,2517.0,15109.0,2025,2
2025-02-01,Algarve,"Unidade Local de Saúde do Algarve, EPE","37.024668, -7.928949",Especialidade Cirurgica,2273.0,18411.0,2025,2
2025-02-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.697519, -8.832517",Especialidade Cirurgica,1593.0,9919.0,2025,2
2025-02-01,Centro,"Unidade Local de Saúde do Baixo Mondego, EPE","40.130297609, -8.8606",Especialidade Cirurgica,311.0,2350.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde do Estuário do Tejo, EPE","38.977344, -8.984882",Especialidade Cirurgica,918.0,5217.0,2025,2
2024-03-01,Centro,"Instituto Português Oncologia  F. Gentil - Centro, E.P.E.","40.217, -8.40991",Especialidade Cirurgica,800.0,4765.0,2024,3
2024-03-01,Lisboa e Vale do Tejo,"Unidade Local de Saúde da Lezíria, EPE","39.232503, -8.715083",Especialidade Cirurgica,1484.0,10418.0,2024,3
2024-03-01,Norte,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE","41.383183, -8.758784",Especialidade Cirurgica,1240.0,5738.0,2024,3
2024-03-01,Centro,"Unidade Local de Saúde da Região de Aveiro, EPE","40.636332, -8.654388",Especialidade Cirurgica,2091.0,11114.0,2024,3
2024-03-01,Centro,"Unidade Local de Saúde da Região de Leiria, EPE","39.7418, -8.79444",Especialidade Cirurgica,2040.0,12054.0,2024,3
2024-03-01,Norte,"Unidade Local de Saúde de Braga, EPE","41.562328338623, -8.3",Especialidade Cirurgica,3627.0,24901.0,2024,3
